take,first_contact_mask,onset_plan,plan_source,grasp_established_3d,GT_first_contact,GT_grasp_established(>=3指)
s01__box_grab_01,21,26,manual,21,24,24
s01__capsulemachine_grab_01,17,21,manual,18,18,20
s01__espressomachine_grab_01,21,23,manual,21,20,21
s01__ketchup_grab_01,18,20,manual,21,19,20
s01__laptop_grab_01,17,20,manual,17,19,20
s01__microwave_grab_01,19,25,manual,19,23,24
s01__mixer_grab_01,23,22,manual,23,20,22
s01__phone_grab_01,18,27,manual,18,18,22
s01__scissors_grab_01,23,28,manual,23,26,28
s01__waffleiron_grab_01,20,26,manual,20,21,25
s02__box_grab_01,20,24,manual,20,21,24
s02__capsulemachine_grab_01,18,25,manual,18,21,22
s02__espressomachine_grab_01,24,31,manual,25,25,27
s02__ketchup_grab_01,20,26,manual,20,24,25
s02__laptop_grab_01,19,24,manual,19,21,24
s02__microwave_grab_01,22,28,manual,22,24,26
s02__mixer_grab_01,20,29,manual,21,23,24
s02__phone_grab_01,16,23,manual,16,20,21
s02__scissors_grab_01,14,15,auto,14,16,18
s02__waffleiron_grab_01,19,25,manual,19,21,23
s04__box_grab_01,16,21,manual,16,17,18
s04__capsulemachine_grab_01,30,21,auto,50,25,25
s04__espressomachine_grab_01,19,23,manual,19,21,23
s04__ketchup_grab_01,19,24,manual,20,21,22
s04__laptop_grab_01,18,20,manual,18,18,18
s04__microwave_grab_01,22,25,manual,22,21,21
s04__mixer_grab_01,15,19,manual,15,17,18
s04__notebook_grab_01,22,25,manual,25,23,25
s04__phone_grab_01,29,28,manual,29,18,21
s04__scissors_grab_01,19,25,manual,20,21,24
s05__box_grab_01,12,13,auto,14,13,15
s05__espressomachine_grab_01,17,19,auto,18,15,19
s05__laptop_grab_01,13,13,auto,13,16,16
s05__microwave_grab_01,18,19,auto,18,18,20
s05__mixer_grab_01,16,13,auto,18,17,18
s05__waffleiron_grab_01,13,14,auto,13,15,16
s06__capsulemachine_grab_01,8,13,manual,8,10,13
s06__espressomachine_grab_01,8,14,manual,51,12,13
s06__ketchup_grab_01_retake2,22,25,manual,22,22,23
s06__microwave_grab_01,16,20,manual,16,15,16
s06__mixer_grab_01,8,15,manual,99,12,14
s06__notebook_grab_01,12,13,auto,12,12,20
s06__phone_grab_01,9,13,manual,,12,15
s06__scissors_grab_01,12,15,manual,,14,16
s06__waffleiron_grab_01_retake,15,26,manual,15,17,34
s07__box_grab_01,16,22,manual,17,17,18
s07__espressomachine_grab_01,17,25,manual,20,16,18
s07__ketchup_grab_01,15,17,auto,15,18,19
s07__laptop_grab_01,12,17,manual,23,14,15
s07__microwave_grab_01,11,18,manual,11,12,12
s07__mixer_grab_01_retake,29,36,manual,72,30,32
s07__phone_grab_01,11,19,manual,11,14,15
s07__scissors_grab_01,16,24,manual,16,15,18
s07__waffleiron_grab_01,15,21,manual,15,15,20
s10__phone_grab_01,12,12,auto,12,11,18
