take,object_id,side,frame,label,opposition,gap3d_mm,tip_gap_mm,winding_consistent
screw_unscrew_bottle_cap/0,object_0,left,3,,0.1083,37.908,63.55,True
screw_unscrew_bottle_cap/0,object_0,left,4,,0.1213,33.541,59.99,True
screw_unscrew_bottle_cap/0,object_0,left,5,,0.1289,28.368,55.67,True
screw_unscrew_bottle_cap/0,object_0,left,6,,0.141,26.648,52.73,True
screw_unscrew_bottle_cap/0,object_0,left,7,,0.1716,24.092,50.1,True
screw_unscrew_bottle_cap/0,object_0,left,8,,0.1913,19.78,47.31,True
screw_unscrew_bottle_cap/0,object_0,left,9,,0.2132,15.689,44.67,True
screw_unscrew_bottle_cap/0,object_0,left,10,,0.2362,9.915,41.07,True
screw_unscrew_bottle_cap/0,object_0,left,11,,0.258,3.877,36.06,True
screw_unscrew_bottle_cap/0,object_0,left,12,,0.2778,0.402,30.24,True
screw_unscrew_bottle_cap/0,object_0,left,13,,0.3083,0.202,26.99,True
screw_unscrew_bottle_cap/0,object_0,left,14,,0.3214,0.246,24.56,True
screw_unscrew_bottle_cap/0,object_0,left,15,,0.3431,0.192,22.31,True
screw_unscrew_bottle_cap/0,object_0,left,16,,0.3602,0.179,22.24,True
screw_unscrew_bottle_cap/0,object_0,left,17,,0.3852,0.189,21.48,True
screw_unscrew_bottle_cap/0,object_0,left,18,,0.4034,0.08,21.72,True
screw_unscrew_bottle_cap/0,object_0,left,19,,0.4208,0.288,21.54,True
screw_unscrew_bottle_cap/0,object_0,left,20,,0.4253,0.498,20.49,True
screw_unscrew_bottle_cap/0,object_0,left,21,,0.4187,0.322,19.85,True
screw_unscrew_bottle_cap/0,object_0,left,22,,0.4227,0.159,19.35,True
screw_unscrew_bottle_cap/0,object_0,left,23,,0.4567,0.401,19.02,True
screw_unscrew_bottle_cap/0,object_0,left,24,,0.4793,0.39,18.85,True
screw_unscrew_bottle_cap/0,object_0,left,25,,0.4945,0.355,17.54,True
screw_unscrew_bottle_cap/0,object_0,left,26,,0.4981,0.192,16.09,True
screw_unscrew_bottle_cap/0,object_0,left,27,,0.4733,0.192,13.21,True
screw_unscrew_bottle_cap/0,object_0,left,28,,0.4356,0.232,10.82,True
screw_unscrew_bottle_cap/0,object_0,left,29,,0.4346,0.234,14.06,True
