env,step,row,release_row,released,certified,k,gate_ok,can,contact,reward,r_adv,r_leash,r_bonus,r_act,r_soft,e_n_cm,e_xy_cm,dp_plate_cm,dr_plate_deg,dp_sponge_cm,dr_sponge_deg,within,plate_tilt_deg,gap_mm,coverage,travel_cm,success,died,die_kind,cross_any,dq_re_deg,done,F_L_thumb,F_L_index,F_L_middle,F_L_ring,F_L_pinky,F_R_thumb,F_R_index,F_R_middle,F_R_ring,F_R_pinky
0,0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0001603568,0.0,-0.0,0.0,-0.0001603568,-0.0,0.016930327,0.14462182,0.0,0.0,0.0,0.0,1.0,0.5478693,-2.2480786,0.097222224,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0341538,0.0,4.427473,0.0,0.0,0.0,0.0,0.0
1,0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00016035618,0.0,-0.0,0.0,-0.00016035618,-0.0,0.010919198,0.13979578,0.0,0.0,0.0,0.0,1.0,0.54067916,-2.111163,0.10185185,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.95877546,0.0,4.482589,0.0,0.0,0.0,0.0,0.0
2,0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00016050086,0.0,-0.0,0.0,-0.00016050086,-0.0,0.011608191,0.14213966,0.0,0.0,0.0,0.0,1.0,0.54536355,-2.1187105,0.10185185,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0670873,0.0,4.408734,0.0,0.0,0.0,0.0,0.0
3,0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00016027922,0.0,-0.0,0.0,-0.00016027922,-0.0,0.01843758,0.14866278,0.0,0.0,0.0,0.0,1.0,0.5322902,-2.2738316,0.10185185,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.1458495,0.0,4.7475004,0.0,0.0,0.0,0.0,0.0
0,1,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.000106862455,0.0,-0.0,0.0,-0.000106862455,-0.0,0.056909956,0.1722753,0.0,0.0,0.0,0.0,1.0,2.0289295,-2.4375095,0.097222224,0.059393164,0.0,0.0,0.0,0.0,0.0,0,0.0,4.9092393,0.16138162,1.5492041,7.426556,0.0,0.0,0.5957844,0.0,0.0
1,1,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.000106919455,0.0,-0.0,0.0,-0.000106919455,-0.0,0.06501377,0.17885207,0.0,0.0,0.0,0.0,1.0,1.9747677,-2.346525,0.10185185,0.08216283,0.0,0.0,0.0,0.0,0.0,0,0.0,2.842823,1.7874769,1.5968444,2.5260928,0.0,0.0,0.5932858,0.0,0.0
2,1,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00010981475,0.0,-0.0,0.0,-0.00010981475,-0.0,0.07449351,0.24773732,0.0,0.0,0.0,0.0,1.0,1.91121,-2.010774,0.10185185,0.13526441,0.0,0.0,0.0,0.0,0.0,0,0.0,3.9464133,2.0935602,1.9327106,2.2446594,0.0,0.0,0.62859875,0.0,0.0
3,1,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00010666047,0.0,-0.0,0.0,-0.00010666047,-0.0,0.069517456,0.20130344,0.0,0.0,0.0,0.0,1.0,1.9510384,-2.222091,0.10185185,0.081985205,0.0,0.0,0.0,0.0,0.0,0,0.0,2.9078765,2.3694906,1.862936,3.2627797,0.0,0.0,0.6449478,0.0,0.0
0,2,3.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00010912613,0.0,-0.0,0.0,-0.00010912613,-0.0,0.05484689,0.34251487,0.0,0.0,0.0,0.0,1.0,1.2116002,-2.3334866,0.11111111,0.23033531,0.0,0.0,0.0,0.0,0.0,0,0.0,2.1770577,1.2033416,0.89912164,1.7502095,1.5070072,0.0,0.3401358,0.0,0.0
1,2,3.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.000113788556,0.0,-0.0,0.0,-0.000113788556,-0.0,0.037951022,0.3011856,0.0,0.0,0.0,0.0,1.0,1.0952152,-2.4324079,0.11574074,0.2045128,0.0,0.0,0.0,0.0,0.0,0,0.0,2.3337905,1.1407801,0.9547479,2.259377,1.6218175,0.049723122,0.4703532,0.0,0.0
