env,step,row,release_row,released,certified,k,gate_ok,can,contact,reward,r_adv,r_leash,r_bonus,r_act,r_soft,e_n_cm,e_xy_cm,dp_plate_cm,dr_plate_deg,dp_sponge_cm,dr_sponge_deg,within,plate_tilt_deg,gap_mm,coverage,travel_cm,success,died,die_kind,cross_any,dq_re_deg,done,F_L_thumb,F_L_index,F_L_middle,F_L_ring,F_L_pinky,F_R_thumb,F_R_index,F_R_middle,F_R_ring,F_R_pinky
0,0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00022302076,0.0,-0.0,0.0,-0.00022302076,-0.0,0.0005012378,0.00064724806,0.0,0.0,0.0,0.0,1.0,0.0,-1.8779188,0.0787037,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.7504724,0.0,0.0,0.0,0.0,0.0
1,0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00022302076,0.0,-0.0,0.0,-0.00022302076,-0.0,0.0005012378,0.0006361824,0.0,0.0,0.0,0.0,1.0,0.0,-1.8779188,0.0787037,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.7499894,0.0,0.0,0.0,0.0,0.0
2,0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00022304893,0.0,-0.0,0.0,-0.00022304893,-0.0,0.00054985285,0.0006957298,0.0,0.0,0.0,0.0,1.0,0.0,-1.8786136,0.0787037,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.8815886,0.0,0.0,0.0,0.0,0.0
3,0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00022300563,0.0,-0.0,0.0,-0.00022300563,-0.0,0.0004896894,0.0006228489,0.0,0.0,0.0,0.0,1.0,0.0,-1.877781,0.0787037,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.7257161,0.0,0.0,0.0,0.0,0.0
0,1,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00022359086,0.0,-0.0,0.0,-0.00022359086,-0.0,0.010200962,0.15318665,0.0,0.0,0.0,0.0,1.0,0.68585527,-1.9753501,0.097222224,0.15256701,0.0,0.0,0.0,0.0,0.0,0,0.0,1.1900054,0.3515012,0.0,0.030991301,0.0,0.0,0.0,0.0,0.0
1,1,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00022359208,0.0,-0.0,0.0,-0.00022359208,-0.0,0.011116825,0.16283156,0.0,0.0,0.0,0.0,1.0,0.76463854,-2.0041988,0.097222224,0.16221848,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9128919,0.26415038,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00022329362,0.0,-0.0,0.0,-0.00022329362,-0.0,0.010373257,0.18005885,0.0,0.0,0.0,0.0,1.0,0.7236167,-2.0013359,0.097222224,0.17939511,0.0,0.0,0.0,0.0,0.0,0,0.0,1.1953577,0.35967174,0.0,0.25820804,0.0,0.0,0.0,0.0,0.0
3,1,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00022364946,0.0,-0.0,0.0,-0.00022364946,-0.0,0.012599863,0.15679073,0.0,0.0,0.0,0.0,1.0,0.75821394,-2.04272,0.097222224,0.1561941,0.0,0.0,0.0,0.0,0.0,0,0.0,0.75865895,0.26677993,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,3.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0002092754,0.0,-0.0,0.0,-0.0002092754,-0.0,0.10056719,0.3620406,0.0,0.0,0.0,0.0,1.0,1.3412966,-2.1603537,0.11111111,0.36193168,0.0,0.0,0.0,0.0,0.0,0,2.433803,1.6543709,1.1401763,0.0,0.0,3.6073751,0.0,0.0,0.0,0.0
1,2,3.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00021011097,0.0,-0.0,0.0,-0.00021011097,-0.0,0.051345117,0.42579514,0.0,0.0,0.0,0.0,1.0,0.21939689,-1.8300507,0.11574074,0.4252499,0.0,0.0,0.0,0.0,0.0,0,1.2234375,2.267884,0.6364627,0.3615962,0.0,2.9407582,0.0,0.0,0.0,0.0
