env,step,row,release_row,released,certified,k,gate_ok,can,contact,reward,r_adv,r_leash,r_bonus,r_act,r_soft,e_n_cm,e_xy_cm,dp_plate_cm,dr_plate_deg,dp_sponge_cm,dr_sponge_deg,within,plate_tilt_deg,gap_mm,coverage,travel_cm,success,died,die_kind,cross_any,dq_re_deg,done,F_L_thumb,F_L_index,F_L_middle,F_L_ring,F_L_pinky,F_R_thumb,F_R_index,F_R_middle,F_R_ring,F_R_pinky
0,0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00019295058,0.0,-0.0,0.0,-0.00019295058,-0.0,0.05723834,0.055856008,0.0,0.0,0.0,0.0,1.0,0.6404136,-2.6971195,0.08796296,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.8894854,0.0,0.0,0.0,0.0,0.0
1,0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00019295045,0.0,-0.0,0.0,-0.00019295045,-0.0,0.057229586,0.05585276,0.0,0.0,0.0,0.0,1.0,0.6404136,-2.6970263,0.08796296,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.8898163,0.0,0.0,0.0,0.0,0.0
2,0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00019300955,0.0,-0.0,0.0,-0.00019300955,-0.0,0.058442727,0.058746967,0.0,0.0,0.0,0.0,1.0,0.6443735,-2.7166176,0.09259259,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.7581744,0.0,0.0,0.0,0.0,0.0
3,0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.000192919,0.0,-0.0,0.0,-0.000192919,-0.0,0.05829688,0.058488373,0.0,0.0,0.0,0.0,1.0,0.6431576,-2.7144513,0.09259259,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.7583523,0.0,0.0,0.0,0.0,0.0
0,1,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00015423397,0.0,-0.0,0.0,-0.00015423397,-0.0,0.0170663,0.19143422,0.0,0.0,0.0,0.0,1.0,0.6283844,-2.1205525,0.10185185,0.13874745,0.0,0.0,0.0,0.0,0.0,0,0.0,1.2946472,0.0,0.7826931,1.8022547,0.0,0.0,0.0,0.0,0.0
1,1,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00015423035,0.0,-0.0,0.0,-0.00015423035,-0.0,0.012532622,0.19289026,0.0,0.0,0.0,0.0,1.0,0.616438,-2.0322745,0.10185185,0.1397727,0.0,0.0,0.0,0.0,0.0,0,0.0,1.2751529,0.0,0.70594114,1.2336888,0.0,0.0,0.0,0.0,0.0
2,1,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00015438537,0.0,-0.0,0.0,-0.00015438537,-0.0,0.012590922,0.21250373,0.0,0.0,0.0,0.0,1.0,0.66293347,-1.9648336,0.10185185,0.15679201,0.0,0.0,0.0,0.0,0.0,0,0.0,1.2107558,0.0,0.69437665,1.3273754,0.0,0.0,0.0,0.0,0.0
3,1,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00015446209,0.0,-0.0,0.0,-0.00015446209,-0.0,0.018222257,0.21318173,0.0,0.0,0.0,0.0,1.0,0.67550635,-2.0926464,0.10185185,0.15857176,0.0,0.0,0.0,0.0,0.0,0,0.0,1.2809019,0.0,0.72146314,1.2280635,0.0,0.0,0.0,0.0,0.0
0,2,3.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00014832152,0.0,-0.0,0.0,-0.00014832152,-0.0,0.046502985,0.33504418,0.0,0.0,0.0,0.0,1.0,1.882008,-2.503207,0.11574074,0.29589948,0.0,0.0,0.0,0.0,0.0,0,0.0,3.7933843,1.6945593,2.1792948,3.5004005,0.0,0.0,0.0,0.0,0.0
1,2,3.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00015074709,0.0,-0.0,0.0,-0.00015074709,-0.0,0.036454573,0.3219881,0.0,0.0,0.0,0.0,1.0,1.8772185,-2.7654283,0.11111111,0.28902477,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5491736,1.3753227,1.8761824,3.32857,0.0,0.0,0.0,0.0,0.0
2,2,3.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00015211079,0.0,-0.0,0.0,-0.00015211079,-0.0,0.043797493,0.37940162,0.0,0.0,0.0,0.0,1.0,1.783996,-2.5788116,0.11574074,0.34437525,0.0,0.0,0.0,0.0,0.0,0,0.0,2.6353862,3.980798,1.3627388,2.8707771,0.0,0.0,0.0,0.0,0.0
3,2,3.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0001545555,0.0,-0.0,0.0,-0.0001545555,-0.0,0.042182952,0.36476117,0.0,0.0,0.0,0.0,1.0,1.8214492,-2.5499146,0.11574074,0.3261438,0.0,0.0,0.0,0.0,0.0,0,0.0,3.6356895,2.0120528,2.202142,3.482897,0.0,0.0,0.0,0.0,0.0
0,3,4.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00017643298,0.0,-0.0,0.0,-0.00017643298,-0.0,0.07047113,0.6410805,0.0,0.0,0.0,0.0,1.0,1.9642347,-2.4938154,0.12037037,0.60299563,0.0,0.0,0.0,0.0,0.0,0,0.0,2.6899843,0.25841817,2.6159675,2.542001,0.0,0.0,0.0,0.0,0.0
1,3,4.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00017404514,0.0,-0.0,0.0,-0.00017404514,-0.0,0.060647726,0.6020617,0.0,0.0,0.0,0.0,1.0,1.9915444,-2.6919432,0.11574074,0.56946117,0.0,0.0,0.0,0.0,0.0,0,0.0,2.7336838,0.22008258,2.3236256,2.5113077,0.0,0.0,0.0,0.0,0.0
2,3,4.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00017204543,0.0,-0.0,0.0,-0.00017204543,-0.0,0.03712047,0.6874963,0.0,0.0,0.0,0.0,1.0,1.5378606,-2.9043517,0.11574074,0.6528619,0.0,0.0,0.0,0.0,0.0,0,0.0,2.6319177,0.1699753,1.638735,2.7354107,0.0,0.0,0.0,0.0,0.0
3,3,4.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00017251555,0.0,-0.0,0.0,-0.00017251555,-0.0,0.046181306,0.70775104,0.0,0.0,0.0,0.0,1.0,1.4527955,-2.5549922,0.11574074,0.6693633,0.0,0.0,0.0,0.0,0.0,0,0.0,2.5333502,0.25030833,2.3268807,2.621557,0.0,0.0,0.0,0.0,0.0
0,4,5.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00019983028,0.0,-0.0,0.0,-0.00019983028,-0.0,0.09484645,0.6795362,0.0,0.0,0.0,0.0,1.0,2.021585,-1.9173398,0.12037037,0.64182925,0.0,0.0,0.0,0.0,0.0,0,0.0,3.1771317,0.0006028752,2.5853982,2.3967562,0.0,0.0,0.0,0.0,0.0
1,4,5.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00019007077,0.0,-0.0,0.0,-0.00019007077,-0.0,0.08448437,0.65152866,0.0,0.0,0.0,0.0,1.0,1.9437019,-2.1206791,0.11574074,0.61895806,0.0,0.0,0.0,0.0,0.0,0,0.0,3.2205017,0.0,1.8476988,3.4610794,0.0,0.0,0.0,0.0,0.0
2,4,5.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00019020068,0.0,-0.0,0.0,-0.00019020068,-0.0,0.089552626,0.6983894,0.0,0.0,0.0,0.0,1.0,1.8242406,-1.8389113,0.12037037,0.66425556,0.0,0.0,0.0,0.0,0.0,0,0.0,3.2280147,0.1391457,2.452898,2.5669281,0.0,0.0,0.0,0.0,0.0
3,4,5.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00020203693,0.0,-0.0,0.0,-0.00020203693,-0.0,0.08685663,0.6447015,0.0,0.0,0.0,0.0,1.0,1.9320879,-2.0926576,0.12037037,0.73435783,0.0,0.0,0.0,0.0,0.0,0,0.0,3.2273815,0.0,1.8408661,2.8578882,0.0,0.0,0.0,0.0,0.0
0,5,6.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00018472159,0.0,-0.0,0.0,-0.00018472159,-0.0,0.05140081,0.65373427,0.0,0.0,0.0,0.0,1.0,1.700193,-2.8652902,0.12037037,0.6679889,0.0,0.0,0.0,0.0,0.0,0,2.0681,4.0968623,0.0,1.7427944,3.876266,0.0,0.0,0.0,0.0,0.0
1,5,6.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00018888638,0.0,-0.0,0.0,-0.00018888638,-0.0,0.05905833,0.7062524,0.0,0.0,0.0,0.0,1.0,1.7220377,-2.693059,0.11574074,0.6752191,0.0,0.0,0.0,0.0,0.0,0,2.244874,3.9609737,0.0,3.9182365,2.4802122,0.0,0.0,0.0,0.0,0.0
2,5,6.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00018662465,0.0,-0.0,0.0,-0.00018662465,-0.0,0.06674379,0.773192,0.0,0.0,0.0,0.0,1.0,1.8046099,-2.5006478,0.12037037,0.7390979,0.0,0.0,0.0,0.0,0.0,0,1.179815,4.218066,0.0,6.674439,3.523198,1.425073,0.0,0.0,0.0,0.0
3,5,6.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.000187537,0.0,-0.0,0.0,-0.000187537,-0.0,0.061147846,0.6804116,0.0,0.0,0.0,0.0,1.0,1.7459642,-2.653543,0.12037037,0.7725378,0.0,0.0,0.0,0.0,0.0,0,2.8170576,3.7993164,0.0,3.2300289,2.8560836,0.0,0.0,0.0,0.0,0.0
0,6,7.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00015562375,0.0,-0.0,0.0,-0.00015562375,-0.0,0.066877715,0.7179738,0.0,0.0,0.0,0.0,1.0,1.8388791,-2.6916807,0.12037037,0.7322613,0.0,0.0,0.0,0.0,0.0,0,3.6086218,4.6407433,0.0,2.9587157,3.5686145,2.0575016,0.0,0.0,0.0,0.0
1,6,7.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00015360411,0.0,-0.0,0.0,-0.00015360411,-0.0,0.063234195,0.72448635,0.0,0.0,0.0,0.0,1.0,1.8072109,-2.8134212,0.11574074,0.70745933,0.0,0.0,0.0,0.0,0.0,0,3.6525946,4.5511966,0.0,3.3082852,3.9693673,1.8032242,0.0,0.0,0.0,0.0
2,6,7.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00016057142,0.0,-0.0,0.0,-0.00016057142,-0.0,0.06560702,0.7111233,0.0,0.0,0.0,0.0,1.0,1.8578316,-2.8258934,0.12037037,0.80581236,0.0,0.0,0.0,0.0,0.0,0,3.0055528,4.225883,0.0,3.8715453,3.5600126,1.8038561,0.0,0.0,0.0,0.0
3,6,7.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00015179362,0.0,-0.0,0.0,-0.00015179362,-0.0,0.0683384,0.69193393,0.0,0.0,0.0,0.0,1.0,1.8785732,-2.7004945,0.12037037,0.7957008,0.0,0.0,0.0,0.0,0.0,0,3.8208363,4.64032,0.0,3.5525007,3.1222644,1.9249295,0.0,0.0,0.0,0.0
0,7,8.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0001296713,0.0,-0.0,0.0,-0.0001296713,-0.0,0.11239834,0.7376072,0.0,0.0,0.0,0.0,1.0,1.6020553,-0.55131316,0.125,0.7680825,0.0,0.0,0.0,0.0,0.0,0,6.5755076,4.9523377,0.0,5.297252,3.279634,1.9381661,0.2912353,0.0,0.0,0.0
1,7,8.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00013197299,0.0,-0.0,0.0,-0.00013197299,-0.0,0.10975227,0.6980767,0.0,0.0,0.0,0.0,1.0,1.4426577,-0.57099944,0.12037037,0.76515245,0.0,0.0,0.0,0.0,0.0,0,6.6779275,4.7148466,0.0,3.958392,3.4677575,0.7172244,0.24722455,0.0,0.0,0.0
