env,step,row,release_row,released,certified,k,gate_ok,can,contact,reward,r_adv,r_leash,r_bonus,r_act,r_soft,e_n_cm,e_xy_cm,dp_plate_cm,dr_plate_deg,dp_sponge_cm,dr_sponge_deg,within,plate_tilt_deg,gap_mm,coverage,travel_cm,success,died,die_kind,cross_any,dq_re_deg,done,F_L_thumb,F_L_index,F_L_middle,F_L_ring,F_L_pinky,F_R_thumb,F_R_index,F_R_middle,F_R_ring,F_R_pinky
0,0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0002605503,0.0,-0.0,0.0,-0.0002605503,-0.0,0.16799197,0.43876967,0.0,0.0,0.0,0.0,1.0,0.98536336,-4.585201,0.22685185,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.21112877,0.0,0.0,0.0
1,0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00026017573,0.0,-0.0,0.0,-0.00026017573,-0.0,0.17348006,0.44287238,0.0,0.0,0.0,0.0,1.0,0.9200482,-4.7521276,0.2175926,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9254514,0.0,0.0,0.0,0.0,0.0,0.89563894,0.0,0.0,0.0
2,0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00026023484,0.0,-0.0,0.0,-0.00026023484,-0.0,0.160362,0.45466855,0.0,0.0,0.0,0.0,1.0,0.75199455,-3.9478047,0.22685185,0.0,0.0,0.0,0.0,0.0,0.0,0,2.4813707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00026027596,0.0,-0.0,0.0,-0.00026027596,-0.0,0.1743257,0.43921247,0.0,0.0,0.0,0.0,1.0,1.003272,-4.787367,0.2175926,0.0,0.0,0.0,0.0,0.0,0.0,0,1.1361549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0002269231,0.0,-0.0,0.0,-0.0002269231,-0.0,0.1888249,0.510843,0.0,0.0,0.0,0.0,1.0,1.3697366,-4.9278607,0.25,0.0750413,0.0,0.0,0.0,0.0,0.0,0,4.1299396,0.5412667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00022921163,0.0,-0.0,0.0,-0.00022921163,-0.0,0.1895383,0.50111926,0.0,0.0,0.0,0.0,1.0,1.3395448,-4.692357,0.24537037,0.058932222,0.0,0.0,0.0,0.0,0.0,0,3.1215346,1.2440466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00022875113,0.0,-0.0,0.0,-0.00022875113,-0.0,0.17266572,0.4827512,0.0,0.0,0.0,0.0,1.0,1.2274854,-4.9048223,0.25462964,0.028213862,0.0,0.0,0.0,0.0,0.0,0,5.221769,1.1052815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00022217231,0.0,-0.0,0.0,-0.00022217231,-0.0,0.19781739,0.54865557,0.0,0.0,0.0,0.0,1.0,1.2295561,-5.072589,0.24074075,0.11061947,0.0,0.0,0.0,0.0,0.0,0,6.1540694,1.0112224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,3.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00018601054,0.0,-0.0,0.0,-0.00018601054,-0.0,0.16925055,0.45305127,0.0,0.0,0.0,0.0,1.0,1.7520064,-6.2739363,0.25925925,0.16600364,0.0,0.0,0.0,0.0,0.0,0,6.3011746,1.6112891,0.0,0.0,0.0,2.374866,0.0,0.63276094,0.0,0.0
1,2,3.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0002082446,0.0,-0.0,0.0,-0.0002082446,-0.0,0.17266534,0.52126163,0.0,0.0,0.0,0.0,1.0,1.7733233,-6.280723,0.25925925,0.11987765,0.0,0.0,0.0,0.0,0.0,0,5.7754917,2.8901353,0.0,0.0,0.0,1.9654264,0.0,0.0,0.0,0.0
2,2,3.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00020589866,0.0,-0.0,0.0,-0.00020589866,-0.0,0.1698494,0.46404117,0.0,0.0,0.0,0.0,1.0,1.8456777,-6.056386,0.2638889,0.09425287,0.0,0.0,0.0,0.0,0.0,0,6.548964,1.8508693,0.0,0.0,0.0,2.9281576,0.0,0.012174127,0.0,0.0
3,2,3.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00019496742,0.0,-0.0,0.0,-0.00019496742,-0.0,0.16783905,0.5047391,0.0,0.0,0.0,0.0,1.0,1.6109478,-6.110587,0.25,0.22515221,0.0,0.0,0.0,0.0,0.0,0,6.5199323,1.9903269,0.0,0.0,0.0,2.4070644,0.0,0.33282536,0.0,0.0
0,3,4.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00021136607,0.0,-0.0,0.0,-0.00021136607,-0.0,0.1644887,0.4617598,0.0,0.0,0.0,0.0,1.0,1.7537926,-6.2646728,0.25925925,0.18217583,0.0,0.0,0.0,0.0,0.0,0,8.91932,5.0951886,0.0,0.0,0.0,4.1404004,0.0,0.8715648,0.0,0.0
1,3,4.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00022008336,0.0,-0.0,0.0,-0.00022008336,-0.0,0.18371642,0.50056,0.0,0.0,0.0,0.0,1.0,1.7910031,-6.2132163,0.25925925,0.14250544,0.0,0.0,0.0,0.0,0.0,0,7.669554,2.0938356,0.0,0.0,0.0,4.2887034,0.0,0.68442595,0.0,0.0
2,3,4.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00021134061,0.0,-0.0,0.0,-0.00021134061,-0.0,0.1509467,0.45117742,0.0,0.0,0.0,0.0,1.0,1.9622407,-6.3925104,0.2638889,0.10929842,0.0,0.0,0.0,0.0,0.0,0,9.415435,2.7578526,0.0,0.0,0.0,6.6260304,0.0,1.7047532,0.0,0.0
3,3,4.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00021371481,0.0,-0.0,0.0,-0.00021371481,-0.0,0.13979003,0.50561184,0.0,0.0,0.0,0.0,1.0,1.7041023,-7.979367,0.25462964,0.22684121,0.0,0.0,0.0,0.0,0.0,0,8.457065,3.115623,0.0,0.0,0.0,4.3070273,0.0,1.8857348,0.0,0.0
0,4,5.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.000214087,0.0,-0.0,0.0,-0.000214087,-0.0,0.16098934,0.38410455,0.0,0.0,0.0,0.0,1.0,1.9882987,-6.603963,0.2638889,0.26013482,0.0,0.0,0.0,0.0,0.0,0,10.341439,2.5173306,0.0,0.0,0.0,6.9938354,2.3024356,1.2527671,0.0,0.0
1,4,5.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00019605315,0.0,-0.0,0.0,-0.00019605315,-0.0,0.12227669,0.43701556,0.0,0.0,0.0,0.0,1.0,1.9294525,-7.5968075,0.25925925,0.20657334,0.0,0.0,0.0,0.0,0.0,0,11.0371685,2.2440171,0.0,0.0,0.0,5.687292,0.0,0.6880493,0.0,0.0
2,4,5.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0002181055,0.0,-0.0,0.0,-0.0002181055,-0.0,0.09129327,0.41001093,0.0,0.0,0.0,0.0,1.0,1.8298104,-7.4777102,0.28703704,0.19172236,0.0,0.0,0.0,0.0,0.0,0,10.770587,2.482588,0.0,0.0,0.0,6.8183765,2.2329202,1.1408951,0.0,0.0
3,4,5.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00018666506,0.0,-0.0,0.0,-0.00018666506,-0.0,0.17138422,0.45135516,0.0,0.0,0.0,0.0,1.0,1.9645332,-7.563878,0.25462964,0.28414398,0.0,0.0,0.0,0.0,0.0,0,12.600001,2.7111719,0.0,0.0,0.0,6.317684,2.6934698,1.3569137,0.0,0.0
0,5,6.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0002195038,0.0,-0.0,0.0,-0.0002195038,-0.0,0.11708923,0.43046203,0.0,0.0,0.0,0.0,1.0,1.9166298,-6.868732,0.2777778,0.3197457,0.0,0.0,0.0,0.0,0.0,0,12.433244,2.8874552,0.0,0.0,0.0,8.083279,2.860481,1.0249887,0.0,0.47244227
1,5,6.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00018951963,0.0,-0.0,0.0,-0.00018951963,-0.0,0.13282187,0.39971834,0.0,0.0,0.0,0.0,1.0,1.9356298,-5.320857,0.28703704,0.24734972,0.0,0.0,0.0,0.0,0.0,0,14.263972,2.8461907,0.0,0.0,0.0,7.779201,2.065314,0.9468469,0.0,0.29152137
2,5,6.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0001813202,0.0,-0.0,0.0,-0.0001813202,-0.0,0.07548332,0.36883485,0.0,0.0,0.0,0.0,1.0,1.7239685,-6.380506,0.31944445,0.25401926,0.0,0.0,0.0,0.0,0.0,0,12.543832,2.630677,0.0,0.0,0.0,7.91019,2.6931186,0.81638914,0.0,0.4956033
