env,step,row,release_row,released,certified,k,gate_ok,can,contact,reward,r_adv,r_leash,r_bonus,r_act,r_soft,e_n_cm,e_xy_cm,dp_plate_cm,dr_plate_deg,dp_sponge_cm,dr_sponge_deg,within,plate_tilt_deg,gap_mm,coverage,travel_cm,success,died,die_kind,cross_any,dq_re_deg,done,F_L_thumb,F_L_index,F_L_middle,F_L_ring,F_L_pinky,F_R_thumb,F_R_index,F_R_middle,F_R_ring,F_R_pinky
0,0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00013390195,0.0,-0.0,0.0,-0.00013390195,-0.0,0.13553259,0.49365577,0.0,0.0,0.0,0.0,1.0,0.1266688,-3.6664884,0.2824074,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.4427037,0.0,0.0,0.0,2.5983133,0.0
1,0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00013396882,0.0,-0.0,0.0,-0.00013396882,-0.0,0.12812671,0.4809801,0.0,0.0,0.0,0.0,1.0,0.132704,-3.7472796,0.2962963,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.3256483,0.0,0.0,0.0,4.1915727,0.0
2,0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00013395847,0.0,-0.0,0.0,-0.00013395847,-0.0,0.140284,0.5057102,0.0,0.0,0.0,0.0,1.0,0.11869406,-3.461254,0.2685185,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.2978787,0.0,0.0,0.0,2.8532958,0.0
3,0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00013395061,0.0,-0.0,0.0,-0.00013395061,-0.0,0.14287066,0.49752694,0.0,0.0,0.0,0.0,1.0,0.10279207,-3.339367,0.2685185,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.7315655,0.0,0.0,0.0,2.1257892,0.0
0,1,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00012251709,0.0,-0.0,0.0,-0.00012251709,-0.0,0.082096644,0.40058425,0.0,0.0,0.0,0.0,1.0,0.21028928,-3.5907514,0.33333334,0.093955435,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3980238,0.0,0.0,3.6869757,0.0,0.55289686,0.0,0.0,0.0
1,1,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00012825332,0.0,-0.0,0.0,-0.00012825332,-0.0,0.08623861,0.37687,0.0,0.0,0.0,0.0,1.0,0.21028928,-3.4729633,0.3287037,0.10417524,0.0,0.0,0.0,0.0,0.0,0,0.0,0.8150232,0.0,0.0,2.9654613,0.0,0.5973836,0.0,0.0,0.0
2,1,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00011431426,0.0,-0.0,0.0,-0.00011431426,-0.0,0.0912616,0.41772193,0.0,0.0,0.0,0.0,1.0,0.14803751,-3.4813144,0.3287037,0.09024113,0.0,0.0,0.0,0.0,0.0,0,0.0,0.47203213,0.0,0.0,4.100313,0.0,0.4079274,0.0,0.0,0.0
3,1,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0001304902,0.0,-0.0,0.0,-0.0001304902,-0.0,0.09447057,0.414272,0.0,0.0,0.0,0.0,1.0,0.17017418,-3.432935,0.32407406,0.08558669,0.0,0.0,0.0,0.0,0.0,0,0.0,1.318024,0.0,0.0,2.5506778,0.0,0.094719306,0.0,0.0,0.0
0,2,3.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00014752125,0.0,-0.0,0.0,-0.00014752125,-0.0,0.057292357,0.4189416,0.0,0.0,0.0,0.0,1.0,0.18345396,-3.513557,0.3564815,0.13059871,0.0,0.0,0.0,0.0,0.0,0,3.4582574,1.2140881,4.8289585,0.0,4.3362203,0.0,0.3271693,0.34898573,0.0,0.0
1,2,3.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00014409481,0.0,-0.0,0.0,-0.00014409481,-0.0,0.06706696,0.42727458,0.0,0.0,0.0,0.0,1.0,0.21760587,-3.6690485,0.3472222,0.16670802,0.0,0.0,0.0,0.0,0.0,0,3.8184319,1.0500227,5.329067,0.0,4.837571,0.0,0.4383036,0.21041086,0.3605386,0.0
