env,step,row,release_row,pinned,released,reward,r_contact,r_hold,r_bonus,r_act,r_cross,cross,cross_any,c_plate,c_sponge,dp_plate_cm,dr_plate_deg,dp_sponge_cm,dr_sponge_deg,within,plate_ok,sponge_ok,cert,cert_run,new_cert,dropped,drop_plate,drop_sponge,new_drop,success,done,act_abs_mean,res_arm_max_rad,res_fin_max_rad,F_L_thumb,F_L_index,F_L_middle,F_L_ring,F_L_pinky,F_R_thumb,F_R_index,F_R_middle,F_R_ring,F_R_pinky,gapL_idx_mid_cm,gapL_mid_ring_cm,gapL_ring_pinky_cm,d3L_idx_mid_cm,d3L_mid_ring_cm,d3L_ring_pinky_cm,gapR_idx_mid_cm,gapR_mid_ring_cm,gapR_ring_pinky_cm,d3R_idx_mid_cm,d3R_mid_ring_cm,d3R_ring_pinky_cm
0,0,1,31,1,0.0,-5.8634538e-05,0.0,0.0,0.0,-5.8634538e-05,-0.0,0.0,0.0,0.0,0.0,0.017035007,0.055952907,0.017035007,0.03956468,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.18915269,0.0018109615,0.018558975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2565062,2.0627275,3.7762272,2.2612178,2.2441058,4.125465,2.1209457,3.3154867,1.7449989,2.37035,3.3364937,2.155764
1,0,1,33,1,0.0,-5.873772e-05,0.0,0.0,0.0,-5.873772e-05,-0.0,0.0,0.0,0.0,0.0,0.017035007,0.055952907,0.017035007,0.03956468,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1893266,0.0018126363,0.018579658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.256446,2.0627265,3.7761981,2.261157,2.2441113,4.125444,2.1209433,3.3154407,1.7450608,2.3703227,3.3364542,2.155871
2,0,1,33,1,0.0,-5.8721576e-05,0.0,0.0,0.0,-5.8721576e-05,-0.0,0.0,0.0,0.0,0.0,0.017035007,0.055952907,0.01703501,0.03956468,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.18931092,0.00181213,0.018578278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2564702,2.062729,3.7762046,2.2611818,2.244107,4.1254487,2.1209664,3.3154159,1.7450757,2.3703494,3.3364263,2.1558824
3,0,1,32,1,0.0,-5.8694826e-05,0.0,0.0,0.0,-5.8694826e-05,-0.0,0.0,0.0,0.0,0.0,0.017035007,0.055952907,0.01703501,0.03956468,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.18924813,0.0018120708,0.01857007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2564735,2.0627103,3.7762072,2.2611845,2.2440908,4.125447,2.1209538,3.315462,1.7450266,2.3703363,3.3364718,2.1558223
0,1,2,31,1,0.0,0.033267472,0.033333335,0.0,0.0,-6.586366e-05,-0.0,0.0,0.0,0.33333334,0.0,0.014953567,0.055952907,0.017035007,0.03956468,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.20082304,0.0036162473,0.038155153,0.0,0.0,0.0,0.0,1.615564,0.0,0.0,0.0,0.0,0.0,2.188031,2.0838528,3.7269156,2.191159,2.263221,4.0937943,2.1244802,3.2312684,1.8301024,2.3608994,3.2522008,2.2417228
1,1,2,33,1,0.0,0.033267356,0.033333335,0.0,0.0,-6.5978944e-05,-0.0,0.0,0.0,0.33333334,0.0,0.014772747,0.055952907,0.017035007,0.03956468,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2009861,0.0036197966,0.03819705,0.0,0.0,0.0,0.0,1.6425332,0.0,0.0,0.0,0.0,0.0,2.187911,2.0839155,3.726803,2.1910365,2.2632875,4.0937896,2.1244526,3.2311537,1.8302649,2.3608313,3.2520983,2.241957
2,1,2,33,1,0.0,0.03326736,0.033333335,0.0,0.0,-6.597666e-05,-0.0,0.0,0.0,0.33333334,0.0,0.014806125,0.055952907,0.01703501,0.03956468,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.20098126,0.0036192613,0.03819546,0.0,0.0,0.0,0.0,1.6311151,0.0,0.0,0.0,0.0,0.0,2.1879454,2.0838897,3.7268107,2.1910732,2.263266,4.0937843,2.1244965,3.231141,1.8302665,2.3608813,3.2520852,2.241985
3,1,2,32,1,0.0,0.033267412,0.033333335,0.0,0.0,-6.592205e-05,-0.0,0.0,0.0,0.33333334,0.0,0.01487875,0.055952907,0.01703501,0.03956468,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2009063,0.0036182995,0.03817689,0.0,0.0,0.0,0.0,1.6234671,0.0,0.0,0.0,0.0,0.0,2.1879666,2.0838947,3.7268531,2.1910937,2.26326,4.093772,2.1244526,3.2312214,1.8301636,2.3608449,3.252158,2.2418199
0,2,3,31,1,0.0,0.21994048,0.22000001,0.0,0.0,-5.9535138e-05,-0.0,0.0,0.0,2.0,0.2,0.00931743,0.23069976,0.05864377,0.9337625,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.19521329,0.005298448,0.055889282,2.4255185,1.7075429,0.84025866,0.0,3.6933582,0.86010605,0.0,0.21203317,0.0,0.0,2.1106799,2.122814,3.6754768,2.113101,2.3020048,4.057899,2.1181867,3.1348438,1.9309044,2.36238,3.148998,2.3444672
1,2,3,33,1,0.0,0.21994025,0.22000001,0.0,0.0,-5.9771337e-05,-0.0,0.0,0.0,2.0,0.2,0.0035278397,0.20935662,0.057608932,0.94376755,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.19558811,0.0053063678,0.05597271,1.6228052,1.0717466,0.5891098,0.0,3.7300305,0.88780296,0.0,0.2328832,0.0,0.0,2.1154263,2.1233447,3.6786356,2.1178637,2.3023405,4.059554,2.1181247,3.1346738,1.9312396,2.3627596,3.1487372,2.3448923
